id,name,abbr
1,Kilogram,Kg
2,Gram,gr
3,Table Spoon,tbsp
4,Tea Spoon,tsp
5,Cup,cup
6,Liter,lt
7,Milli Liter,ml
8,Cubic Centimetre,cc
